Source Port,Destination Port,Packet Length,Anomaly Scores,Timestamp_encoded,Source IP Address_encoded,Destination IP Address_encoded,Protocol_encoded,Packet Type_encoded,Traffic Type_encoded,Payload Data_encoded,Malware Indicators_encoded,Alerts/Warnings_encoded,Attack Type_encoded,Attack Signature_encoded,Action Taken_encoded,Severity Level_encoded,User Information_encoded,Device Information_encoded,Network Segment_encoded,Geo-location Data_encoded,Proxy Information_encoded,Firewall Logs_encoded,IDS/IPS Alerts_encoded,Log Source_encoded
31225,17616,503,28.67,36141,939,37091,0,1,2,29502,0,1,2,1,2,1,22830,18202,0,3723,5143,0,1,1
17245,48166,1174,51.5,6759,35826,33418,0,1,2,2600,0,1,2,0,0,1,27434,18188,1,1677,20148,0,1,0
16811,53600,306,87.42,30425,32917,19496,2,0,2,26898,0,0,0,1,1,1,10139,18280,2,1707,1568,0,0,0
20018,32534,385,15.79,37100,12598,592,2,1,2,36619,1,0,2,1,0,2,9216,4793,1,3750,20148,1,0,0
6131,26646,1462,0.52,37488,34515,17716,1,1,0,25546,1,0,0,1,0,1,6462,17964,2,577,4967,1,0,0
17430,52805,1423,5.76,29943,19277,9368,2,1,2,32437,1,1,2,0,2,2,32226,26274,2,679,20148,1,1,1
26562,17416,379,31.55,25075,39564,35524,1,1,0,29516,1,1,0,1,1,0,7886,28766,0,2477,20148,0,1,1
34489,20396,1022,54.05,33008,2296,15406,0,1,0,2109,0,0,1,0,2,0,31323,8401,0,6323,9292,0,0,0
56296,20857,1281,56.34,36957,29987,34660,1,0,1,38177,0,0,1,0,0,0,31812,8067,1,385,20148,0,0,1
37918,50039,224,16.51,17124,3043,12245,2,1,2,5371,1,0,2,1,0,2,17620,14257,0,6808,18880,1,1,1
35538,35006,661,24.91,27054,15266,19150,0,1,2,34218,1,0,2,1,1,2,10814,24045,1,2721,13073,1,1,1
10903,36817,281,86.07,26308,38729,2828,1,0,2,23699,1,1,2,1,1,1,17084,25388,1,5730,20148,1,1,0
53471,38048,64,74.2,7826,31687,39812,0,0,0,10823,1,0,1,0,0,2,29424,26087,1,7462,20148,0,0,1
43729,10845,1341,62.14,10918,36379,2592,0,1,2,440,1,1,2,0,1,1,26929,18075,2,2897,16082,1,1,0
47795,35243,913,72.65,32704,30979,32586,2,1,0,34795,1,0,2,1,2,0,10985,16231,1,7464,5517,1,1,0
24912,21176,425,91.56,39285,6060,4206,1,1,0,39496,1,0,1,1,2,2,25876,27473,2,1409,20148,0,1,0
39934,5259,838,43.83,34938,28121,7191,1,0,2,33972,1,0,0,1,1,0,25107,26880,1,7610,20148,0,1,1
16513,50583,969,40.46,33274,22427,26751,1,1,2,8798,1,1,0,0,2,1,26465,15497,1,2092,10111,0,0,0
4510,26783,124,44.75,10477,3924,29460,1,0,0,29574,1,0,0,1,1,0,8928,17996,2,6812,20148,1,1,0
55147,17595,461,13.19,5906,1096,2471,1,1,2,17488,0,1,0,1,1,0,32015,20161,1,138,737,0,0,1
24907,37634,845,89.99,16272,3513,14111,0,0,0,17887,1,0,2,1,0,2,16776,7552,0,4304,17381,0,1,0
37998,1757,410,86.91,24564,22870,19174,2,0,0,2870,0,1,2,1,0,1,24273,13533,2,7885,20148,0,0,1
